Entity,Entity Type,Count,Example Sentence,First Level,Second Level,Third Level,Mapped Entity,Similarity
3.4 cm,descriptor,15,"however , underlying the cranial mesh repair there is acute intracranial hemorrhage , which appears to be a combination of a large , by convex , mixed density extra-axial hemorrhage measuring up to 3 . 4 cm in with , plus a superimposed left anterior frontal lobe intra-axial hemorrhage measuring up to 40 x 26 mm .",size,numeric,numeric,,
tubular,descriptor,15,"unusual tubular high-density in the prepontine cistern , without definite venous communication on enhanced imaging .",shape,regular,tubular,,
4.3 mm,descriptor,15,"similar leftward midline shift measuring 4 . 3 mm , image 18 .",size,numeric,numeric,,
approximately 10 mm,descriptor,15,"this measures only 2 mm in thickness , but extends over an ap / cc extent of approximately 10 mm .",size,numeric,numeric,,
8 mm thick,descriptor,15,"residual left frontotemporal subdural hematoma extending to convexity , measuring up to 8 mm thick unchanged by my measurement .",size,numeric,numeric,,
fusiform,descriptor,15,vascular : marked fusiform aneurysmal enlargement of the basilar artery likely related to atherosclerotic disease .,shape,regular,fusiform,,
2.5 mm,descriptor,15,mild midline shift 2 . 5 mm toward the left .,size,numeric,numeric,,
approximately 8 mm,descriptor,15,right frontal subdural hygroma has nearly resolved and the left frontal subdural hygroma now measures approximately 8 mm in thickness .,size,numeric,numeric,,
approximately 12 mm,descriptor,14,left frontal mixed density subdural hematoma measuring approximately 12 mm in thickness .,size,numeric,numeric,,
4.1 cm,descriptor,14,"there is a mildly lobulated 4 . 1 cm mass at the left parietal lobe , involving the left basal ganglia , with significant associated decreased attenuation involving the white matter of the left frontal and parietal lobes , tracking along the medial left temporal lobe .",size,numeric,numeric,,
3.6 cm,descriptor,14,brain : stable appearance of known parenchymal hemorrhage in the posterior left frontal lobe with maximum diameter of 3 . 6 cm .,size,numeric,numeric,,
6 mm thick,descriptor,13,"slightly hyperdense posterior right parietal subdural hematoma 6 mm thick , decreased in thickness , previously 8 mm thick .",size,numeric,numeric,,
25 mm,descriptor,13,other : mastoid air cells and middle ear cavities are clear . 25 mm lipoma is again seen within the posterior subcutaneous soft tissues,size,numeric,numeric,,
8.5 mm,descriptor,13,prior to craniectomy was left right measuring 8 . 5 mm .,size,numeric,numeric,,
measuring up to 6 mm in thickness,descriptor,13,"left of midline posterior small scalp hematoma measuring up to 6 mm in thickness ( series 3 , image 56 ) .",size,numeric,numeric,,
previously 11 mm,descriptor,13,"on the right this measures up to 5 mm ( series 6 , image 35 ) previously 11 mm .",size,numeric,numeric,,
7.7 mm,descriptor,13,"thickness of the subdural hematoma in the posterior parietal region is minimally increased , from 6 . 5 mm to 7 . 7 mm .",size,numeric,numeric,,
measuring up to 4 mm in thickness,descriptor,12,left superior lateral scalp hematoma measuring up to 4 mm in thickness .,size,numeric,numeric,,
7.8 mm,descriptor,12,"there is however , a persistent complex collection beneath the right frontal craniotomy flap / site with maximal thickness of 7 . 8 mm and unchanged .",size,numeric,numeric,,
ruptured,descriptor,12,this is compatible with hemorrhage from a posterior circulation ruptured aneurysm .,integrity,compromised,compromised,,
6.6 mm,descriptor,12,"the maximum thickness today is 6 . 6 mm on series 3 , image 23 .",size,numeric,numeric,,
approximately 1.5 cm,descriptor,12,increased size of intraparenchymal hemorrhagic contusion is seen in the anterior right temporal lobe which now measures approximately 1 . 5 cm .,size,numeric,numeric,,
5.4 mm,descriptor,12,"there is left to right midline shift measuring 5 . 4 mm , image 17 .",size,numeric,numeric,,
5 millimeters,descriptor,12,brain : hyperdense left basal ganglia hemorrhage is fading but there remains regional edema and mass effect including 5 millimeters of rightward midline shift and partial effacement of the left lateral ventricle .,size,numeric,numeric,,
4.4 cm,descriptor,12,there is a large 4 . 4 cm mass in the region of the right frontal lobe .,size,numeric,numeric,,
measuring up to 5 mm in thickness,descriptor,12,associated broad-based scalp hematoma measuring up to 5 mm in thickness .,size,numeric,numeric,,
5.2 mm,descriptor,12,complex slightly dense left subdural collection minimally decreased in size now maximal thickness of 5 . 2 mm versus prior 6 mm .,size,numeric,numeric,,
4.8 cm,descriptor,11,"skull : there is no evidence of fracture; a large 4 . 8 cm calcified structure is noted at the left frontal sinus , with apparent erosion through the inner table of the left frontal calvarium , and mild extension along the superior aspect of the left orbit abutting the left optic globe .",size,numeric,numeric,,
4.6 mm,descriptor,11,posterior lateral left thalamic 4 . 6 mm hyperdensity suspicious for posttraumatic hemorrhage and without change .,size,numeric,numeric,,
48 mm,descriptor,11,"the biventricular diameter has actually decreased , now measuring 45 mm today as compared with 48 mm previously .",size,numeric,numeric,,
less than 1 cm,descriptor,11,a smaller high attenuation hemorrhagic lesion is seen in the left parietal lobe just above the sylvian fissure which measures 11 mm and a tiny less than 1 cm hemorrhagic lesion is again seen in the superior left thalamus .,size,numeric,numeric,,
measuring up to 3 mm,descriptor,11,"diminishing left inferior frontal subdural hematoma , without mass effect , measuring up to 3 mm .",size,numeric,numeric,,
approximately 11 mm,descriptor,11,"residual mixed density bilateral subdural hematomas have not significantly changed in size , each measuring approximately 11 mm in maximal thickness .",size,numeric,numeric,,
approximately 1.4 cm,descriptor,11,the right frontal lobe subdural hematoma measures approximately 1 . 4 cm in thickness .,size,numeric,numeric,,
7.3 mm,descriptor,11,"there is a right posterior scalp hematoma which measures 7 . 3 mm in thickness , image 26 .",size,numeric,numeric,,
8 millimeters,descriptor,11,"furthermore there is abnormal dural thickening or or mixed density subdural hematoma in the left hemisphere , measuring [date] millimeters laterally and along the tentorium , and up to 8 millimeters along the interhemispheric fissure .",size,numeric,numeric,,
11 mm in thickness,descriptor,11,"brain : there is a new subdural collection on the left measuring 11 mm in thickness anteriorly on series 2 , image 13 .",size,numeric,numeric,,
measuring up to 6 mm,descriptor,11,skull : left frontal scalp and supraorbital soft tissue swelling with crescentic scalp hematoma measuring up to 6 mm in maximal thickness .,size,numeric,numeric,,
8.2 mm,descriptor,11,"the right subdural hematoma appears slightly smaller than yesterday , measuring 8 . 2 mm in maximum thickness but extending over a smaller portion of the right cerebral surface .",size,numeric,numeric,,
24 mm,descriptor,11,the patient has developed a metastatic lesion in the left frontal lobe towards the vertex measuring 24 mm in diameter with some internal necrosis .,size,numeric,numeric,,
measuring up to 5 mm,descriptor,11,left hemispheric subdural hematoma measuring up to 5 mm .,size,numeric,numeric,,
5.5 cm,descriptor,10,"central csf space currently measures 6 cm , compared to 5 . 5 cm on prior study .",size,numeric,numeric,,
measuring up to 9 mm,descriptor,10,unchanged right frontal convexity silvano axial calcification may reflect an incidental dural calcification or small meningioma measuring up to 9 mm and without associated mass effect or edema .,size,numeric,numeric,,
45 mm,descriptor,10,"the biventricular diameter has actually decreased , now measuring 45 mm today as compared with 48 mm previously .",size,numeric,numeric,,
previously 16 mm,descriptor,10,"left frontal convex subdural versus epidural hematoma is decreased considerably in density and smaller , measuring 11 mm , previously 16 mm .",size,numeric,numeric,,
6.3 mm,descriptor,10,"there is no 3 . 6 mm of midline shift to the left , decreased from 6 . 3 mm .",size,numeric,numeric,,
2.7 mm,descriptor,10,there remains approximately 2 . 7 mm of left-to-right midline shift .,size,numeric,numeric,,
26 mm,descriptor,10,the area of hypoattenuation now measures 11 mm compared with 26 mm .,size,numeric,numeric,,
4.7 mm,descriptor,10,midline shift is estimated at 4 . 7 mm .,size,numeric,numeric,,
8.6 mm,descriptor,10,residual right subdural collection measures up to 8 . 6 mm in maximal thickness .,size,numeric,numeric,,
increase in size,descriptor,9,no significant increase in size or mass effect .,change,increase,increase,,
approximately 1.3 cm,descriptor,9,the actual hyperdense portion of the hemorrhage measures approximately 1 . 9 cm ap by approximately 1 . 3 cm transversely .,size,numeric,numeric,,
3.7 cm,descriptor,9,"there is a large area of hemorrhage within the right thalamus , measuring 3 . 7 cm in greatest diameter .",size,numeric,numeric,,
measuring up to 12 mm,descriptor,9,"mixed density hematoma along the left cerebral convexity measuring up to 12 mm , unchanged .",size,numeric,numeric,,
peripheral enhancement,descriptor,9,"in the superior left parietal region , extra-axial complex fluid collection with peripheral enhancement measures 3 . 5 x 1 . 3 cm .",enhancement,present,peripheral,,
10 x 15 mm,descriptor,9,this measures approximately 10 x 15 mm .,size,numeric,numeric,,
11.7 mm,descriptor,9,smaller left vertex subdural collection also appears decreased since there prior exam measuring up to 11 . 7 mm in thickness ( previously 15 . 5 mm at a comparable level ) .,size,numeric,numeric,,
measuring up to 8 mm,descriptor,9,"brain : right subdural hematoma again noted , measuring up to 8 mm in thickness on coronal imaging .",size,numeric,numeric,,
6.8 mm,descriptor,9,mass effect with compression of the left lateral ventricle with midline shift to the right by 6 . 8 mm .,size,numeric,numeric,,
11 mm thick,descriptor,9,"there is an associated parieto-occipital epidural hematoma , approximately 11 mm thick , containing small bubbles of air .",size,numeric,numeric,,
9.3 mm,descriptor,9,this has a depth of up to approximately 9 . 3 mm .,size,numeric,numeric,,
7.6 mm,descriptor,9,mass effect upon the left lateral ventricle with 7 . 6 mm of midline shift to the right without significant change .,size,numeric,numeric,,
5.7 mm,descriptor,9,there is a 5 . 7 mm focus of increased density in the left posterior limb internal capsule .,size,numeric,numeric,,
35 mm,descriptor,9,brain : unchanged peripheral hemispheric hematoma in the posterior left frontal region measuring up to 35 mm .,size,numeric,numeric,,
27 mm,descriptor,9,this measures 27 mm in the frontal region at approximately 28 mm over the convexity .,size,numeric,numeric,,
osseous,descriptor,8,skull : no acute calvarial osseous abnormality .,component_involved,osseous,osseous,,
measuring up to 7 mm,descriptor,8,subdural hematoma overlying the anterior left cerebral hemisphere is unchanged again measuring up to 7 mm in greatest thickness .,size,numeric,numeric,,
approximately 2.1 cm,descriptor,8,acute intraparenchymal hemorrhage is seen in the left temporal lobe which measures approximately 2 . 1 cm in maximum diameter .,size,numeric,numeric,,
