Entity,IRI
Postseptal orbital space,fma.fma0327409
Parotid tributary of right pterygoid plexus,fma.fma50967
Belly of frontalis,fma.fma319873
Musculature of mandibular part of mouth,fma.fma289618
Left buccal part of vestibule of mouth,fma.fma289324
Neural network of cardinal body part,fma.fma74617
Set of organs,fma.fma70779
Muscle body of temporoparietalis,fma.fma318388
Right supra-orbital artery,fma.fma49974
Vasculature of left parietal bone,fma.fma234157
Right masseter,fma.fma48997
Subdivision of scalp,fma.fma224003
Alveolodental segment 21,fma.fma289773
Left anterior occipital sulcus,fma.fma275435
Branch of right anterior choroidal artery to right hippocampus,fma.fma50154
Circular sinus,fma.fma0326837
Clivus branch of internal carotid artery,fma.fma50106
Pharyngeal tonsil,fma.fma54970
Medial accessory inferior olivary nucleus,fma.fma72594
Recurrent meningeal branch of lacrimal artery,fma.fma51965
Sulcal segment of right superior frontal gyrus,fma.fma275630
Subtemporal region of epidural space,fma.fma0327228
White matter of right precentral gyrus,fma.fma270947
Nuclear complex of neuraxis,fma.fma84059
Laryngeal conduit,fma.fma265140
Right medial frontobasal artery,fma.fma50343
Muscular branch of right ophthalmic artery,fma.fma49965
Sebaceous gland of lower eyelid,fma.fma59196
Portal vein of hypophysis,fma.fma50798
Trunk of left seventh anterior intercostal vein,fma.fma78160
Buccal part of mandibular alveolodental arch,fma.fma289727
Right deep facial vein,fma.fma50917
Right inferior temporal gyrus,fma.fma72687
Septal nasal cartilage,fma.fma59503
Left lower buccal sulcus,fma.fma289314
Cavity of cerebral aqueduct,fma.fma242759
Palpebral part of right orbicularis oculi,fma.fma46785
Brodmann area 11 of right straight gyrus,fma.fma271338
Tympanic vein,fma.fma50959
Right pericallosal artery,fma.fma50359
Musculature of external mandibular part of mouth,fma.fma289905
Dorsal tegmental decussation,fma.fma72451
Skin of auricular part of head,fma.fma63884
Musculature of vestibular part of mouth,fma.fma289614
Subclavian vein,fma.fma4725
Endosteum of palatine bone,fma.fma315025
Left levator veli palatini,fma.fma46729
Left tensor veli palatini,fma.fma46732
Left precentral sulcus,fma.fma275525
Left pterygoid artery,fma.fma49833
Pyramidal decussation,fma.fma72633
Left antitragicus,fma.fma48982
Trunk of right lingual vein,fma.fma66682
Supra-auricular part of head,fma.fma224222
Right lateral wall of internal nose,fma.fma59671
Left internal thoracic vein,fma.fma4766
Cerebellar peduncle,fma.fma272298
Skeletal muscle tissue of muscle of head,fma.fma284660
Left anterior superior alveolar artery,fma.fma49773
Vasculature of periosteum of ethmoid bone,fma.fma315485
Vasculature of maxillary arch,fma.fma289642
Thalamotuberal artery,fma.fma50424
Gray matter of right middle frontal gyrus,fma.fma270488
Left malleus,fma.fma74053
Lumen of trunk of posterior spinal artery,fma.fma262415
Tributary of accessory hemiazygos vein,fma.fma14388
Superior hypophysial artery,fma.fma49849
Right superior temporal vein,fma.fma51487
Right ascending palatine artery,fma.fma49556
Integument of right parietal part of head,fma.fma224192
Vena comitans of left hypoglossal nerve,fma.fma50835
Neural network of lower lip,fma.fma286284
Skeletal muscle tissue of frontalis,fma.fma318370
Mixed dentition,fma.fma318370
Fissura antitragohelicina,fma.fma61184
Vein of cochlear window,fma.fma77852
Branch of infra-orbital artery,fma.fma49770
Trunk of posterior cerebral artery,fma.fma85063
Wall of lateral ventricle,fma.fma242772
Prechiasmatic sulcus,fma.fma75760
Facial branch of facial artery,fma.fma49554
Lateral inferior limiting sulcus,fma.fma74523
Superficial fascia of zygomatic part of left cheek,fma.fma86613
Middle part of lower lip,fma.fma224413
Lingual vein,fma.fma14326
Zone of temporal bone,fma.fma52870
Alveolodental segment 22,fma.fma289775
Distal tendon of auricularis superior,fma.fma320840
Lumen of bony part of right pharyngotympanic tube,fma.fma60086
Medullary cavity of ethmoid bone,fma.fma314766
Bony part of right maxilla,fma.fma259761
Vestibular nuclear complex,fma.fma72239
Skin of zygomatic part of cheek,fma.fma79750
Vasculature of right parietal part of head,fma.fma270059
Brodmann area 25 of left inferior frontal gyrus,fma.fma271387
Compact bone of parietal bone,fma.fma235230
Tributary of inferior petrosal sinus from inferior cerebellum,fma.fma51283
Body proper of right maxilla,fma.fma57769
Alveolar part of left maxilla,fma.fma269588
Intertrabecular subarachnoid space,fma.fma266089
Epithelium of lens,fma.fma58871
Tributary of right inferior petrosal sinus from pons,fma.fma52479
Vermilion of upper lip,fma.fma59827
Cerebral arterial circle,fma.fma50454
Right sphincter pupillae,fma.fma49159
Subclavian artery,fma.fma3951
Skeletal muscle tissue of orbicularis oculi,fma.fma261812
Segment of lingual gyrus,fma.fma274608
Segmental medullary branch of vertebral artery,fma.fma50510
Right tonsillar artery,fma.fma49559
Zone of masseter,fma.fma314132
Vasculature of periosteum of right maxilla,fma.fma315437
Peridental branch of left posterior superior alveolar artery,fma.fma49766
Temporo-occipital branch of left middle cerebral artery,fma.fma50474
Right upper canine tooth bony socket,fma.fma269632
Distal zone of auricularis anterior,fma.fma320874
Branch of right medial superior cerebellar artery to superior cerebellum,fma.fma50700
Mucosa of right palatopharyngeal arch,fma.fma60035
Left helicis major,fma.fma48970
Iris,fma.fma58235
Vascular layer of right eyeball,fma.fma58107
Integument of pre-auricular part of right cheek,fma.fma224134
Set of mucous glands of lower lip,fma.fma286448
Right side of frontal bone,fma.fma0328001
Wall of posterior segment of right eyeball,fma.fma58765
Tributary of internal cerebral vein,fma.fma51328
Meningeal branch of vertebral artery,fma.fma50515
Vasculature of body part subdivision,fma.fma74611
Right mastoid foramen,fma.fma56097
Medial plate of right pterygoid process,fma.fma54691
Left coronoid process of mandible,fma.fma52835
Midbrain,fma.fma61993
Cubital fossa,fma.fma39848
Vasculature of left parietal part of head,fma.fma270061
Wall of trunk of external carotid artery,fma.fma85631
Superior labial artery,fma.fma49570
Precommunicating part of anterior cerebral artery,fma.fma50073
Superior vermian branch of medial branch of left superior cerebellar artery,fma.fma50697
Right vertebral vein,fma.fma4756
Superior part of medial frontal gyrus,fma.fma278617
Nasal branch of posterior ethmoidal artery,fma.fma50007
Sebaceous gland of right lower eyelid,fma.fma59199
Belly of occipitalis,fma.fma319879
Lobule of lacrimal gland,fma.fma59524
Tonsillar branch of right ascending pharyngeal artery,fma.fma79212
Right carotid siphon,fma.fma50110
Left lacrimal duct,fma.fma61065
Left short posterior ciliary artery,fma.fma49960
Cavity of lacrimal sac,fma.fma59560
Internal granular layer of occipital lobe,fma.fma242567
Branch of right anterior choroidal artery to right optic tract,fma.fma50138
Neural network of occipital part of head,fma.fma270103
Radicular branch of right vertebral artery,fma.fma50511
Meningeal space of brain,fma.fma0327370
Middle temporal branch of left lateral occipital artery,fma.fma50681
Distal tendon of transverse part of right nasalis,fma.fma319572
Distal tendon of deep part of right masseter,fma.fma318848
Telencephalon,fma.fma62000
Right ear,fma.fma53641
Right superior occipital gyrus,fma.fma72675
Skin of root of nose,fma.fma59531
Left posterior choroidal artery,fma.fma50659
Skin of external acoustic tube,fma.fma61316
Levator veli palatini branch of ascending palatine artery,fma.fma79234
Styloid process of temporal bone,fma.fma52877
Base of stapes,fma.fma52769
Right inferior cerebellar vein,fma.fma52450
Left vitreous body,fma.fma58829
External acoustic meatal space,fma.fma242889
Jaw,fma.fma54396
Nasal septal branch of left superior labial artery,fma.fma49576
Mastoid branch of posterior auricular artery,fma.fma79387
Left rhinal sulcus,fma.fma275301
Basal cell of olfactory epithelium,fma.fma62303
Right distal medial striate artery,fma.fma50341
Temple region of squamous part of left temporal bone,fma.fma317807
Right nasal vestibule,fma.fma59648
Tributary of left inferior petrosal sinus from medulla oblongata,fma.fma52478
Right occipital diploic vein,fma.fma52113
Trunk of lateral occipital artery,fma.fma86133
Medial wall of left ethmoidal labyrinth,fma.fma57478
Inferior pharyngeal constrictor branch of left superior thyroid artery,fma.fma79204
Bony part of right stapes,fma.fma64010
Inferior bulb of left internal jugular vein,fma.fma50821
Brodmann area 44 of right precentral gyrus,fma.fma271553
Right angular gyrus,fma.fma72669
Left conjunctival gland,fma.fma59058
Right anterior orbital gyrus,fma.fma256198
Isthmus of right pharyngotympanic tube,fma.fma60067
Maxillary gingiva,fma.fma59763
Orbital part of right lacrimal bone,fma.fma57617
Deep auricular artery,fma.fma49689
Superficial fascia of columella,fma.fma59727
Superior marginal part of orbicularis oris,fma.fma46847
Right tragus,fma.fma60999
Neural network of left auriculotemporal part of head,fma.fma270109
Left proximal medial striate artery,fma.fma50316
Superficial fascia of temple region of right temporal part of head,fma.fma317841
Right internal jugular vein,fma.fma4754
Region of philtrum,fma.fma305938
Right levator palpebrae superioris,fma.fma49048
Right first upper molar tooth bony socket,fma.fma269674
Parietal bone,fma.fma9613
Medial branch of right inferior hypophyseal artery,fma.fma49854
Lobule of right pinna,fma.fma60989
Pretarsal region of eyelid,fma.fma0326739
Endosteum of right temporal bone,fma.fma314981
Body of right incus,fma.fma270023
Salpingopalatine fold,fma.fma54990
Perpendicular plate of palatine bone,fma.fma52899
Lumen of left common carotid artery,fma.fma83092
Retinal pigment cell,fma.fma62087
Gray matter of posterior segment of left paracentral lobule,fma.fma273849
Vasculature of endosteum of ethmoid bone,fma.fma315473
Trunk of superior palpebral vein,fma.fma316927
Deep part of right parotid gland,fma.fma59813
Peduncular tributary of basal vein,fma.fma51332
Vasculature of periosteum of left palatine bone,fma.fma315491
Vasculature of internal nose,fma.fma270173
Subdivision of skin of cheek,fma.fma79743
Right maxillary tuberosity,fma.fma57732
Anterior pole of eyeball,fma.fma58112
Branch of ascending palatine artery,fma.fma79224
Pre-auricular part of left cheek,fma.fma61566
Masseter branch of transverse facial artery,fma.fma77977
Vasculature of auriculotemporal part of head,fma.fma270065
Trunk of articular tributary of pterygoid plexus,fma.fma78198
Medullary cavity of vomer,fma.fma314772
Posterior ciliary artery,fma.fma49952
Orbital part of left orbicularis oculi,fma.fma46783
Right dorsal intermediate sulcus of medulla oblongata,fma.fma275483
Trunk of left external carotid artery,fma.fma66532
Right lateral segment of mandibular alveolodental arch,fma.fma289729
Wall of trunk of left external carotid artery,fma.fma262467
Trunk of esophageal tributary of right inferior thyroid vein,fma.fma78126
Posterior ligament of left incus,fma.fma60888
Medial occipital artery,fma.fma50638
Left mastoid antrum,fma.fma55719
Artery of postcentral sulcus,fma.fma50482
Neural network of vomer,fma.fma314911
Paracentral branch of callosomarginal artery,fma.fma50336
Gray matter of left posterior transverse temporal gyrus,fma.fma270580
External nasal vein,fma.fma50910
Lateral part of floor of mouth,fma.fma322976
Trunk of parotid tributary of right pterygoid plexus,fma.fma78196
Ethmoidal crest of left palatine bone,fma.fma59163
Trunk of tributary of lingual vein,fma.fma80494
Palatine process proper of left maxilla,fma.fma59128
Lateral ligament of left temporomandibular joint,fma.fma57073
Bony part of right lacrimal bone,fma.fma259743
Lateral branch of right superior cerebellar artery,fma.fma50578
Integument of vermilion of lower lip,fma.fma304696
Trunk of right inferior thyroid vein,fma.fma66657
Left superior temporal vein,fma.fma51488
Lobule of pinna,fma.fma60984
Trunk of left external jugular vein,fma.fma66654
Right submandibular gland,fma.fma59802
Right tympanic vein,fma.fma50963
Lateral superior cerebellar artery,fma.fma50577
Subdivision of viscerocranium,fma.fma317194
Segment of forebrain,fma.fma61996
Vasculature of neuraxis,fma.fma225259
Skin of left auricular part of head,fma.fma70332
Cranial cavity,fma.fma9644
Skin of pre-auricular part of cheek,fma.fma79756
Trunk of anterior jugular vein,fma.fma66752
Palpebral conjunctiva of right lower eyelid,fma.fma223074
Left lacrimal apparatus,fma.fma59369
Musculoskeletal system of head,fma.fma284583
Right lacrimal artery,fma.fma49928
Incisive fossa segment of palatine process of left maxilla,fma.fma296007
Left masseteric artery,fma.fma49741
Tributary of facial vein,fma.fma50883
Vasculature of nose,fma.fma74746
Left foramen spinosum,fma.fma54789
Handle of malleus,fma.fma52760
Belly of auricularis anterior,fma.fma319997
Central medullary reticular complex,fma.fma70663
Subdivision of pinna,fma.fma60960
Superficial fascia of upper lip,fma.fma223081
Skull,fma.fma46565
Frontomarginal gyrus,fma.fma274504
Left external carotid artery,fma.fma4060
Left inferior temporal gyrus,fma.fma72688
Anterior vestibular vein,fma.fma52433
Space of compartment of head,fma.fma84953
Radicular branch of vertebral artery,fma.fma50509
Left nasal vestibule,fma.fma59649
Anterior subcentral sulcus,fma.fma83765
Synovial cavity of temporomandibular joint,fma.fma57099
Right frontal diploic vein,fma.fma52103
Trunk of superior cerebellar artery,fma.fma86075
Vestibular part of mouth,fma.fma289583
Left anterior transverse temporal gyrus,fma.fma72692
White matter of neuraxis,fma.fma83929
Levator palpebrae superioris,fma.fma49041
Proximal tendon of nasalis,fma.fma319548
Musculature of cheek,fma.fma289622
